,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
135,Subject-HIP3,156488073,7795,1647,6148,156481925,49.81210293259858,10.525177268876261
136,Subject-Healthy-1,89222,2,2,0,89222,22.415996054784696,22.415996054784696
137,Subject-Healthy-10,81939,13,13,0,81939,158.65460891638904,158.65460891638904
138,Subject-Healthy-2,7788,1,1,0,7788,128.40267077555214,128.40267077555214
139,Subject-Healthy-3,6143,1,1,0,6143,162.78691193228065,162.78691193228065
140,Subject-Healthy-7,5463,3,3,0,5463,549.1488193300385,549.1488193300385
141,Subject-IGG2,346200,9,6,3,346197,25.996533795493935,17.331172713801678
142,Subject-TW01A,126368,6,5,1,126367,47.480374778424924,39.56729209366369
143,Subject-TW01B,87491,2,1,1,87490,22.85949411939514,11.429877700308607
144,Subject-TW02A,192084,9,4,5,192079,46.85450115574436,20.824764810312423
145,Subject-TW02B,201854,6,5,1,201853,29.724454308559654,24.770501305405418
146,Subject-TW03A,273063,3,3,0,273063,10.986475648476725,10.986475648476725
147,Subject-TW03B,178233,11,5,6,178227,61.716965993951746,28.05411076885096
148,Subject-TW04A,270086,14,11,3,270083,51.835341335722696,40.72822058404268
149,Subject-TW04B,435002,46,7,39,434963,105.7466402453322,16.09332288033695
150,Subject-TW05A,263881,4,3,1,263880,15.158347891663288,11.368804001819008
151,Subject-TW05B,211004,19,11,8,210996,90.04568633769976,52.133689738194086
